联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,51:57.9,8
设备5_new,6.1694E+16,温度,2,土壤,57:00.6,8
设备5_new,6.1694E+16,温度,2,土壤,01:51.5,8
设备5_new,6.1694E+16,温度,2,土壤,07:06.8,8
设备5_new,6.1694E+16,温度,2,土壤,11:56.5,8
设备5_new,6.1694E+16,温度,2,土壤,16:57.5,7
设备5_new,6.1694E+16,温度,2,土壤,21:59.0,7
设备5_new,6.1694E+16,温度,2,土壤,27:01.4,7
设备5_new,6.1694E+16,温度,2,土壤,31:51.9,7
设备5_new,6.1694E+16,温度,2,土壤,36:59.2,7
设备5_new,6.1694E+16,温度,2,土壤,41:56.4,7
设备5_new,6.1694E+16,温度,2,土壤,46:53.2,7
设备5_new,6.1694E+16,温度,2,土壤,51:54.7,7
设备5_new,6.1694E+16,温度,2,土壤,57:06.5,7
设备5_new,6.1694E+16,温度,2,土壤,01:53.8,7
设备5_new,6.1694E+16,温度,2,土壤,07:02.4,7
设备5_new,6.1694E+16,温度,2,土壤,11:58.1,7
设备5_new,6.1694E+16,温度,2,土壤,16:53.9,7
设备5_new,6.1694E+16,温度,2,土壤,21:55.0,7
设备5_new,6.1694E+16,温度,2,土壤,26:57.1,7
设备5_new,6.1694E+16,温度,2,土壤,31:52.9,7
设备5_new,6.1694E+16,温度,2,土壤,36:59.0,7
设备5_new,6.1694E+16,温度,2,土壤,41:56.5,7
设备5_new,6.1694E+16,温度,2,土壤,46:53.2,7
设备5_new,6.1694E+16,温度,2,土壤,51:52.6,7
设备5_new,6.1694E+16,温度,2,土壤,56:56.5,7
设备5_new,6.1694E+16,温度,2,土壤,01:55.2,7
设备5_new,6.1694E+16,温度,2,土壤,07:00.9,7
设备5_new,6.1694E+16,温度,2,土壤,11:58.1,7
设备5_new,6.1694E+16,温度,2,土壤,16:52.7,7
设备5_new,6.1694E+16,温度,2,土壤,21:55.1,7
设备5_new,6.1694E+16,温度,2,土壤,26:59.0,7
设备5_new,6.1694E+16,温度,2,土壤,31:54.7,7
设备5_new,6.1694E+16,温度,2,土壤,36:55.8,7
设备5_new,6.1694E+16,温度,2,土壤,41:59.9,7
设备5_new,6.1694E+16,温度,2,土壤,46:55.0,7
设备5_new,6.1694E+16,温度,2,土壤,51:52.6,7
设备5_new,6.1694E+16,温度,2,土壤,56:58.5,7
设备5_new,6.1694E+16,温度,2,土壤,01:55.3,7
设备5_new,6.1694E+16,温度,2,土壤,07:13.3,7
设备5_new,6.1694E+16,温度,2,土壤,11:59.1,7
设备5_new,6.1694E+16,温度,2,土壤,16:57.5,7
设备5_new,6.1694E+16,温度,2,土壤,21:59.0,7
设备5_new,6.1694E+16,温度,2,土壤,26:55.8,7
设备5_new,6.1694E+16,温度,2,土壤,31:56.8,7
设备5_new,6.1694E+16,温度,2,土壤,37:00.5,7
设备5_new,6.1694E+16,温度,2,土壤,41:58.4,7
设备5_new,6.1694E+16,温度,2,土壤,46:56.0,7
设备5_new,6.1694E+16,温度,2,土壤,51:57.8,7
设备5_new,6.1694E+16,温度,2,土壤,56:57.9,7
设备5_new,6.1694E+16,温度,2,土壤,01:59.3,7
设备5_new,6.1694E+16,温度,2,土壤,07:01.5,7
设备5_new,6.1694E+16,温度,2,土壤,12:03.6,7
设备5_new,6.1694E+16,温度,2,土壤,16:56.6,7
设备5_new,6.1694E+16,温度,2,土壤,21:56.2,7
设备5_new,6.1694E+16,温度,2,土壤,27:00.6,7
设备5_new,6.1694E+16,温度,2,土壤,31:54.6,7
设备5_new,6.1694E+16,温度,2,土壤,37:00.7,7
设备5_new,6.1694E+16,温度,2,土壤,42:02.1,7
设备5_new,6.1694E+16,温度,2,土壤,46:58.0,7
设备5_new,6.1694E+16,温度,2,土壤,51:57.1,7
设备5_new,6.1694E+16,温度,2,土壤,56:58.5,7
设备5_new,6.1694E+16,温度,2,土壤,01:56.4,7
设备5_new,6.1694E+16,温度,2,土壤,07:07.6,7
设备5_new,6.1694E+16,温度,2,土壤,12:05.8,7
设备5_new,6.1694E+16,温度,2,土壤,17:02.9,7
设备5_new,6.1694E+16,温度,2,土壤,21:57.4,7
设备5_new,6.1694E+16,温度,2,土壤,27:00.5,7
设备5_new,6.1694E+16,温度,2,土壤,31:56.6,8
设备5_new,6.1694E+16,温度,2,土壤,37:00.7,8
设备5_new,6.1694E+16,温度,2,土壤,41:58.7,9
设备5_new,6.1694E+16,温度,2,土壤,46:57.1,9
设备5_new,6.1694E+16,温度,2,土壤,52:00.7,10
设备5_new,6.1694E+16,温度,2,土壤,57:03.0,11
设备5_new,6.1694E+16,温度,2,土壤,01:56.8,11
设备5_new,6.1694E+16,温度,2,土壤,07:13.5,12
设备5_new,6.1694E+16,温度,2,土壤,12:03.1,13
设备5_new,6.1694E+16,温度,2,土壤,16:58.5,14
设备5_new,6.1694E+16,温度,2,土壤,21:58.4,15
设备5_new,6.1694E+16,温度,2,土壤,27:01.8,16
设备5_new,6.1694E+16,温度,2,土壤,31:57.9,16
设备5_new,6.1694E+16,温度,2,土壤,37:04.6,17
设备5_new,6.1694E+16,温度,2,土壤,42:04.4,17
设备5_new,6.1694E+16,温度,2,土壤,46:56.0,17
设备5_new,6.1694E+16,温度,2,土壤,52:01.8,17
设备5_new,6.1694E+16,温度,2,土壤,57:03.0,17
设备5_new,6.1694E+16,温度,2,土壤,02:01.5,17
设备5_new,6.1694E+16,温度,2,土壤,07:13.3,17
设备5_new,6.1694E+16,温度,2,土壤,11:59.2,17
设备5_new,6.1694E+16,温度,2,土壤,17:00.5,17
设备5_new,6.1694E+16,温度,2,土壤,22:05.1,17
设备5_new,6.1694E+16,温度,2,土壤,27:01.9,18
设备5_new,6.1694E+16,温度,2,土壤,31:59.2,18
设备5_new,6.1694E+16,温度,2,土壤,37:06.8,18
设备5_new,6.1694E+16,温度,2,土壤,42:03.1,17
设备5_new,6.1694E+16,温度,2,土壤,46:56.3,17
设备5_new,6.1694E+16,温度,2,土壤,52:01.2,18
设备5_new,6.1694E+16,温度,2,土壤,56:59.6,18
设备5_new,6.1694E+16,温度,2,土壤,01:57.0,19
设备5_new,6.1694E+16,温度,2,土壤,07:12.6,18
设备5_new,6.1694E+16,温度,2,土壤,12:02.7,18
设备5_new,6.1694E+16,温度,2,土壤,16:55.6,18
设备5_new,6.1694E+16,温度,2,土壤,22:01.7,19
设备5_new,6.1694E+16,温度,2,土壤,27:02.1,19
设备5_new,6.1694E+16,温度,2,土壤,32:00.9,19
设备5_new,6.1694E+16,温度,2,土壤,37:07.7,18
设备5_new,6.1694E+16,温度,2,土壤,41:59.5,18
设备5_new,6.1694E+16,温度,2,土壤,46:59.4,19
设备5_new,6.1694E+16,温度,2,土壤,51:58.3,20
设备5_new,6.1694E+16,温度,2,土壤,57:00.8,21
设备5_new,6.1694E+16,温度,2,土壤,01:57.9,21
设备5_new,6.1694E+16,温度,2,土壤,07:13.1,21
设备5_new,6.1694E+16,温度,2,土壤,12:00.0,21
设备5_new,6.1694E+16,温度,2,土壤,16:59.6,21
设备5_new,6.1694E+16,温度,2,土壤,22:00.3,21
设备5_new,6.1694E+16,温度,2,土壤,27:01.3,20
设备5_new,6.1694E+16,温度,2,土壤,32:06.2,19
设备5_new,6.1694E+16,温度,2,土壤,37:04.0,19
设备5_new,6.1694E+16,温度,2,土壤,42:00.2,19
设备5_new,6.1694E+16,温度,2,土壤,46:57.9,20
设备5_new,6.1694E+16,温度,2,土壤,51:57.4,20
设备5_new,6.1694E+16,温度,2,土壤,57:01.7,20
设备5_new,6.1694E+16,温度,2,土壤,01:59.3,20
设备5_new,6.1694E+16,温度,2,土壤,07:11.6,20
设备5_new,6.1694E+16,温度,2,土壤,12:07.1,21
设备5_new,6.1694E+16,温度,2,土壤,16:57.7,22
设备5_new,6.1694E+16,温度,2,土壤,21:58.7,22
设备5_new,6.1694E+16,温度,2,土壤,27:00.7,21
设备5_new,6.1694E+16,温度,2,土壤,31:59.7,22
设备5_new,6.1694E+16,温度,2,土壤,37:01.7,22
设备5_new,6.1694E+16,温度,2,土壤,41:59.6,22
设备5_new,6.1694E+16,温度,2,土壤,46:57.2,22
设备5_new,6.1694E+16,温度,2,土壤,52:00.0,22
设备5_new,6.1694E+16,温度,2,土壤,57:01.0,22
设备5_new,6.1694E+16,温度,2,土壤,01:58.0,21
设备5_new,6.1694E+16,温度,2,土壤,07:10.5,21
设备5_new,6.1694E+16,温度,2,土壤,11:57.9,21
设备5_new,6.1694E+16,温度,2,土壤,16:55.6,20
设备5_new,6.1694E+16,温度,2,土壤,22:01.0,20
设备5_new,6.1694E+16,温度,2,土壤,27:04.1,20
设备5_new,6.1694E+16,温度,2,土壤,31:58.6,19
